GeneID	TotalCounts
g1867	0
g1868	0
g1869	0
g187	99
g1870	0
g1871	0
g1872	0
g1873	0
g1874	0
g1875	0
g1876	0
g1877	4
g1878	0
g1879	11
g188	244
g1880	11
g1881	0
g1882	0
g1883	0
g1884	0
g1885	0
g1886	0
g1887	0
g1888	0
g1889	0
g189	7
g1890	0
g1891	0
g1892	0
g1893	0
g1894	0
g1895	0
g1896	0
g1897	0
g1898	0
g1899	0
g19	0
g190	10565
g1900	0
g1901	0
g1902	0
g1903	0
g1904	0
g1905	0
g1906	0
g1907	11
g1908	129
g1909	26
g191	0
g1910	4033
g1911	2074
g1912	1180
g1913	49
g1914	1317
g1915	0
g1916	3688
g1917	3092
g1918	76
g1919	13
g192	1
g1920	14443
g1921	978
g1922	0
g1923	0
g1924	0
g1925	14
g1926	0
g1927	0
g1928	0
g1929	0
g193	213
g1930	1
g1931	1
g1932	0
g1933	18476
g1934	47
g1935	1
g1936	4
g1937	0
g1938	0
g1939	0
g194	144
g1940	0
g1941	0
g1942	0
g1943	20
g1944	1764
g1945	0
g1946	0
g1947	0
g1948	0
g1949	0
g195	0
g1950	0
g1951	0
g1952	0
g1953	0
g1954	0
g1955	0
g1956	0
g1957	0
g1958	0
g1959	0
g196	224
g1960	0
g1961	0
g1962	0
g1963	0
g1964	0
g1965	0
g1966	123
g1967	10
g1968	24
g1969	6
g197	0
g1970	0
g1971	194
g1972	4791
g1973	63
g1974	386
g1975	0
g1976	0
g1977	0
g1978	0
g1979	0
g198	0
g1980	0
g1981	0
g1982	0
g1983	0
g1984	0
g1985	0
g1986	0
g1987	0
g1988	0
g1989	0
g199	84
g1990	12
g1991	0
g1992	0
g1993	0
g1994	0
g1995	0
g1996	0
g1997	2
g1998	6
g1999	237
g2	0
g20	0
g200	0
g2000	391
g2001	12
g2002	0
g2003	0
g2004	0
g2005	0
g2006	0
g2007	0
g2008	0
g2009	0
g201	6799
g2010	0
g2011	0
g2012	0
g2013	0
g2014	0
g2015	0
g2016	0
g2017	1
g2018	46
g2019	0
g202	100
g2020	0
g2021	0
g2022	0
g2023	0
g2024	0
g2025	0
g2026	0
g2027	0
g2028	0
g2029	0
g203	0
g2030	0
g2031	0
g2032	0
g2033	383
g2034	49
g2035	330
g2036	33
g2037	1414
g2038	62
g2039	0
g204	0
g2040	15467
g2041	15
g2042	16
g2043	8
g2044	0
g2045	237
g2046	2467
g2047	0
g2048	345
g2049	133
g205	343
g2050	64
g2051	3953
g2052	1108
g2053	0
g2054	191
g2055	3
g2056	0
g2057	1079
g2058	9273
g2059	5
g206	191
g2060	35973
g2061	677
g2062	0
g2063	0
g2064	1791
g2065	6
g2066	5
g2067	16
g2068	159
g2069	175
g207	1176
g2070	0
g2071	10
g2072	1
g2073	0
g2074	0
g2075	80
g2076	495
g2077	0
g2078	0
g2079	0
g208	2508
g2080	5
g2081	80
g2082	121
g2083	0
g2084	0
g2085	2198
g2086	0
g2087	0
g2088	0
g2089	0
g209	393
g2090	0
g2091	1
g2092	1714
g2093	476
g2094	1
g2095	1923
g2096	220
g2097	9
g2098	259
g2099	720
g21	0
g210	1167
g2100	272
g2101	16
g2102	34
g2103	31286
g2104	36
g2105	96
g2106	20
g2107	137
g2108	3127
g2109	314
g211	3848
g2110	715
g2111	0
g2112	79
g2113	174
g2114	256
g2115	200
g2116	3376
g2117	177
g2118	2
g2119	40
g212	4
g2120	1267
g2121	0
g2122	280
g2123	1597
g2124	0
g2125	670
g2126	0
g2127	137
g2128	0
g2129	0
g213	5839
g2130	0
g2131	7
g2132	0
g2133	0
g2134	0
g2135	0
g2136	0
g2137	0
g2138	0
g2139	11
g214	794
g2140	0
g2141	0
g2142	0
g2143	0
g2144	0
g2145	0
g2146	0
g2147	0
g2148	203
g2149	0
g215	1
g2150	0
g2151	0
g2152	0
g2153	0
g2154	0
g2155	0
g2156	0
g2157	0
g2158	0
g2159	689
g216	280
g2160	1
g2161	32
g2162	0
g2163	0
g2164	0
g2165	0
g2166	0
g2167	0
g2168	0
g2169	0
g217	0
g2170	0
g2171	0
g2172	0
g2173	0
g2174	3
g2175	0
g2176	0
g2177	0
g2178	0
g2179	0
g218	58
g2180	0
g2181	0
g2182	0
g2183	0
g2184	0
g2185	0
g2186	0
g2187	0
g2188	0
g2189	0
g219	18
g2190	0
g2191	0
g2192	0
g2193	0
g2194	0
g2195	0
g2196	0
g2197	0
g2198	0
g2199	0
g22	0
g220	1
g2200	0
g2201	0
g2202	0
g2203	0
g2204	0
g2205	0
g2206	0
g2207	0
g2208	0
g2209	0
g221	0
g2210	0
g2211	0
g2212	0
g2213	0
g2214	0
g2215	0
g2216	0
g2217	0
g2218	0
g2219	0
g222	0
g2220	0
g2221	1
g2222	0
g2223	0
g2224	0
g2225	0
g2226	0
g2227	0
g2228	0
g2229	3
g223	5955
g2230	0
g2231	0
g2232	0
g2233	0
g2234	0
g2235	0
g2236	0
g2237	0
g2238	0
g2239	0
g224	7
g2240	0
g2241	0
g2242	0
g2243	0
g2244	0
g2245	0
g2246	0
g2247	0
g2248	0
g2249	0
g225	70
g2250	0
g2251	0
g2252	0
g2253	0
g2254	0
g2255	0
g2256	0
g2257	0
g2258	0
g2259	0
g226	0
g2260	0
g2261	0
g2262	0
g2263	0
g2264	0
g2265	0
g2266	0
g2267	0
g2268	0
g2269	0
g227	128
g2270	0
g2271	0
g2272	0
g2273	0
g2274	0
g2275	0
g2276	0
g2277	0
g2278	0
g2279	0
g228	834
g2280	0
g2281	11
g2282	107
g2283	0
g2284	0
g2285	0
g2286	0
g2287	0
g2288	0
g2289	0
g229	252
g2290	0
g2291	0
g2292	0
g2293	0
g2294	0
g2295	0
g2296	0
g2297	0
g2298	0
g2299	0
g23	0
g230	0
g2300	0
g2301	0
g2302	0
g2303	0
g2304	0
g2305	0
g2306	0
g2307	0
g2308	0
g2309	0
g231	2630
g2310	0
g2311	0
g2312	0
g2313	0
g2314	0
g2315	0
g2316	0
g2317	0
g2318	0
g2319	0
g232	14104
g2320	0
g2321	0
g2322	0
g2323	0
g2324	0
g2325	0
g2326	0
g2327	0
g2328	0
g2329	0
g233	92
g2330	0
g2331	1
g2332	5
g2333	3547
g2334	4
g2335	152
g2336	3
g2337	963
g2338	1
g2339	3
g234	2034
g2340	371
g2341	1907
g2342	74
g2343	107
g2344	0
g2345	15
g2346	0
g2347	0
g2348	748
g2349	2
g235	0
g2350	0
g2351	15
g2352	0
g2353	0
g2354	0
g2355	0
g2356	23
g2357	0
g2358	0
g2359	0
g236	641
g2360	6389
g2361	63
g2362	307
g2363	1
g2364	3527
g2365	1
g2366	0
g2367	9
g2368	13620
g2369	7656
g237	0
g2370	5
g2371	432
g2372	4232
g2373	278
g2374	5
g2375	0
g2376	0
g2377	5762
g2378	2489
g2379	244410
g238	1139
g2380	593
g2381	55
g2382	75
g2383	554
g2384	667
g2385	1
g2386	1612
g2387	7274
g2388	3887
g2389	3334
g239	709
g2390	21
g2391	1
g2392	1
g2393	8931
g2394	4
g2395	62811
g2396	0
g2397	0
g2398	0
g2399	0
g24	0
g240	372
g2400	0
g2401	0
g2402	2
g2403	0
g2404	493
g2405	267
g2406	24
g2407	37
g2408	0
g2409	7714
g241	59
g2410	5605
g2411	2201
g2412	6
g2413	341
g2414	1466
g2415	0
g2416	425
g2417	164
g2418	5269
g2419	154
g242	829
g2420	0
g2421	638
g2422	4000
g2423	73
g2424	6439
g2425	1
g2426	160
g2427	1711
g2428	2
g2429	14
g243	78
g2430	1
g2431	103
g2432	39171
g2433	596
g2434	8309
g2435	13207
g2436	6289
g2437	5843
g2438	145
g2439	2494
g244	4731
g2440	183
g2441	3063
g2442	942
g2443	1781
g2444	2688
g2445	875
g2446	2870
g2447	1508
g2448	8153
g2449	16
g245	1332
g2450	2
g2451	9
g2452	0
g2453	13
g2454	49
g2455	0
g2456	0
g2457	12265
g2458	147
g2459	155330
g246	0
g2460	13739
g2461	64618
g2462	3432
g2463	1
g2464	0
g2465	0
g2466	18
g2467	2
g2468	10
g2469	0
g247	0
g2470	0
g2471	0
g2472	0
g2473	0
g2474	0
g2475	0
g2476	0
g2477	0
g2478	0
g2479	0
g248	1970
g2480	0
g2481	0
g2482	0
g2483	5
g2484	0
g2485	1
g2486	36
g2487	26876
g2488	3740
g2489	0
g249	211
g2490	0
g2491	2032
g2492	1152
g2493	0
g2494	2586
g2495	5
g2496	9
g2497	306
g2498	877
g2499	4195
g25	0
g250	2
g2500	3180
g2501	129
g2502	307
g2503	0
g2504	3730
g2505	225
g2506	7145
g2507	758
g2508	797
g2509	3714
g251	0
g2510	331
g2511	60
g2512	0
g2513	20870
g2514	2336
g2515	0
g2516	62303
g2517	4602
g2518	1984
g2519	9784
g252	0
g2520	9087
g2521	224
g2522	0
g2523	7
g2524	257
g2525	0
g2526	0
g2527	0
g2528	0
g2529	0
g253	0
g2530	2
g2531	1080
g2532	0
g2533	3
g2534	0
